ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Guthrie,Hist-Groups,G-code,L-code,Language,missing,orig-Longitude,orig-Latitude
B_Nso,B_Nso,,-4.55057,18.4978,song1299,,B,West-Coastal,B85d,B-Nso,Nsongo,0,-4.9,19.85
B_Imp,B_Imp,,,,,,B,West-Coastal,B85e,B-Imp,Impur,0,-4.3,18.8
B_Mp2,B_Mp2,,,,,,B,West-Coastal,B85E,B-Mp2,Mput,2,-4.3,18.9
B_Tm2,B_Tm2,,-6.21344,17.1658,samb1309,,B,West-Coastal,B85f,B-Tm2,Tsambaan,3,-4.5,18.9
B_Dzi,B_Dzi,,-4.44304,19.3881,ding1239,,B,West-Coastal,B86,B-Dzi,Dzing,2,-4.3,19.3
B_Mb1,B_Mb1,,-5.21134,19.4269,mpuo1241,,B,West-Coastal,B87,B-Mb1,Mbuun,1,-4.9,19.8
C_Bam,C_Bam,,1.70044,17.3733,bomi1238,,C,West-Congo Basin,C00,C-Bam,Bambomba,8,1.3,17.3
C_Bwa,C_Bwa,,,,,,C,West-Congo Basin,C00,C-Bwa,Bwamba,0,3.6,18
C_Lik,C_Lik,,,,,,C,West-Congo Basin,C00,C-Lik,Likau,5,2.4,18.9
C_Mok,C_Mok,,,,,,C,West-Congo Basin,C00,C-Mok,Mokiba,2,0.7,14.5
C_Ba2,C_Ba2,,1.07773,17.2305,dibo1245,,C,West-Congo Basin,C00a,C-Ba2,Babole,3,1.4,18
C_Gan,C_Gan,,3.71666,17.6499,ngan1304,,C,West-Congo Basin,C01,C-Gan,Gando,7,3.6,17.5
C_Kot,C_Kot,,1.016,13.97,kota1274,,C,West-Congo Basin,C02,C-Kot,Kota,1,-0.7,12
C_Iso,C_Iso,,,,,,C,West-Congo Basin,C10,C-Iso,Isongo,7,4,17.8
C_Lke,C_Lke,,,,,,C,West-Congo Basin,C10,C-Lke,Leke,4,1.6,17.2
C_Kod,C_Kod,,3.02108,16.21457,ngun1270,,C,West-Congo Basin,C11,C-Kod,Kondi,12,3.9,16.2
C_Pan,C_Pan,,3.57935,16.22754,pand1264,,C,West-Congo Basin,C12,C-Pan,Pande,7,3.5,16.2
C_Gon,C_Gon,,,,bogo1240,,C,West-Congo Basin,C12b,C-Gon,Gongo,7,3.2,16
C_Bon,C_Bon,,0.37063,16.6079,bong1284,,C,West-Congo Basin,C15,C-Bon,Bongili,0,0.3,15.5
C_Lob,C_Lob,,2.04881,18.3667,loba1239,,C,West-Congo Basin,C16,C-Lob,Lobala,4,2.7,18.5
C_Aka,C_Aka,,-0.39897,15.4623,akwa1248,,C,West-Congo Basin,C22,C-Aka,Aka,7,4.3,18.5
C_Koy,C_Koy,,-0.69688,15.7508,koyo1242,,C,West-Congo Basin,C24,C-Koy,Koyo,0,-0.5,15.9
C_Bo1,C_Bo1,,-1.23019,15.5322,mbos1242,,C,West-Congo Basin,C25,C-Bo1,Bosi,0,-1.1,15.4
C_Lkb,C_Lkb,,-1.27931,16.4702,liku1242,,C,West-Congo Basin,C27,C-Lkb,Likuba,2,-1.7,16.4
C_Bab,C_Bab,,,,,,C,West-Congo Basin,C30,C-Bab,Babale,3,-2.1,17.15
C_Blk,C_Blk,,0.83463,18.4555,bolo1262,,C,West-Congo Basin,C30,C-Blk,Boloki,1,0.9,18.7
C_Gya,C_Gya,,,,,,C,West-Congo Basin,C30,C-Gya,Gyando,1,1.8,18.2
C_Lkk,C_Lkk,,,,liko1252,,C,West-Congo Basin,C30,C-Lkk,Likoka,2,2.7,18.7
C_Mot,C_Mot,,2.0246,20.36849,temb1272,,C,West-Congo Basin,C30,C-Mot,Motembo,1,2.1,21.1
C_Ndo,C_Ndo,,1.32539,18.6151,ndob1238,,C,West-Congo Basin,C30,C-Ndo,Ndobo,0,1,18.7
C_Pam,C_Pam,,-0.739203,17.685662,mpam1239,,C,West-Congo Basin,C30,C-Pam,Pama,2,-1.05,17.2
C_Mo1,C_Mo1,,,,,,C,West-Congo Basin,C30a,C-Mo1,Moya,2,-2.5,16.2
C_Dok,C_Dok,,,,doko1244,,C,West-Congo Basin,C31,C-Dok,Doko,4,1.6,19.7
C_Lo1,C_Lo1,,,,loii1242,,C,West-Congo Basin,C31a,C-Lo1,Loi,1,0.5,17.9
C_Zam,C_Zam,,1.25,18.3,zamb1245,,C,West-Congo Basin,C31e,C-Zam,Zamba,2,1.4,18.2
C_Mbz,C_Mbz,,,,,,C,West-Congo Basin,C31f,C-Mbz,Mbonzo,0,1.8,18
C_Lib,C_Lib,,1.97729,18.8886,libi1244,,C,West-Congo Basin,C31r,C-Lib,Libinza,0,1.5,18.5
C_Bal,C_Bal,,1.75106,19.0222,liki1240,,C,West-Congo Basin,C31s,C-Bal,Balobo,1,1.9,19.4
C_Mwe,C_Mwe,,2.16773,19.1644,bamw1238,,C,West-Congo Basin,C31y,C-Mwe,Mwe,8,2.1,19.2
C_Bob,C_Bob,,-0.87437,17.227,bang1354,,C,West-Congo Basin,C32,C-Bob,Bobangi,0,-1.4,17.7
C_Kin,C_Kin,,,,,,C,West-Congo Basin,C32,C-Kin,Kinunu,4,-1.9,16.5
C_Mbm,C_Mbm,,,,,,C,West-Congo Basin,C32,C-Mbm,Mbompo,2,-0.1,18.1
C_Sen,C_Sen,,-1.92256,17.2965,seng1278,,C,West-Congo Basin,C33,C-Sen,Sengele,1,-1.8,18.7
C_Sak,C_Sak,,-2.85653,17.9669,saka1287,,C,West-Congo Basin,C34,C-Sak,Sakata,3,-2.7,18.1
C_Kba,C_Kba,,,,,,C,West-Congo Basin,C34a,C-Kba,Kibai,6,-2.9,18.6
C_Kes,C_Kes,,,,,,C,West-Congo Basin,C34B,C-Kes,Kesha,2,-3.05,18.7
C_Bol,C_Bol,,-1.38362,18.09748,boli1255,,C,West-Congo Basin,C35,C-Bol,Bolia,1,-1.5,18.4
C_Nt1,C_Nt1,,,,boli1263,,C,West-Congo Basin,C35,C-Nt1,Ntomba-B,0,-1.1,18.1
